iter	Passed	Remaining
1171	9878	6978
1172	9885	6969
1173	9893	6960
1174	9900	6951
1175	9910	6944
1176	9918	6935
1177	9927	6927
1178	9934	6917
1179	9943	6909
1180	9949	6899
1181	9957	6890
1182	9963	6881
1183	9971	6872
1184	9978	6862
1185	9985	6853
1186	9993	6844
1187	9999	6834
1188	10008	6826
1189	10016	6818
1190	10024	6809
1191	10031	6800
1192	10041	6792
1193	10047	6782
1194	10056	6774
1195	10063	6764
1196	10071	6756
1197	10078	6747
1198	10086	6738
1199	10094	6729
1200	10102	6721
1201	10112	6713
1202	10121	6705
1203	10129	6696
1204	10139	6689
1205	10145	6679
1206	10154	6671
1207	10161	6661
1208	10169	6653
1209	10176	6644
1210	10185	6635
1211	10191	6626
1212	10200	6618
1213	10207	6608
1214	10216	6600
1215	10223	6591
1216	10232	6583
1217	10239	6574
1218	10249	6566
1219	10256	6557
1220	10265	6549
1221	10272	6540
1222	10281	6532
1223	10288	6523
1224	10298	6515
1225	10306	6506
1226	10360	6527
1227	10385	6528
1228	10395	6521
1229	10412	6518
1230	10426	6513
1231	10434	6504
1232	10444	6496
1233	10450	6487
1234	10459	6479
1235	10466	6469
1236	10475	6461
1237	10482	6451
1238	10491	6443
1239	10497	6433
1240	10507	6426
1241	10515	6417
1242	10524	6409
1243	10531	6399
1244	10540	6391
1245	10546	6382
1246	10557	6374
1247	10563	6365
1248	10574	6358
1249	10580	6348
1250	10590	6340
1251	10596	6330
1252	10605	6322
1253	10611	6313
1254	10621	6304
1255	10628	6295
1256	10638	6288
1257	10645	6279
1258	10654	6271
1259	10661	6261
1260	10670	6253
1261	10677	6243
1262	10685	6235
1263	10691	6225
1264	10699	6216
1265	10706	6207
1266	10713	6197
1267	10722	6189
1268	10729	6180
1269	10737	6171
1270	10743	6162
1271	10752	6154
1272	10759	6144
1273	10768	6136
1274	10776	6128
1275	10786	6120
1276	10792	6110
1277	10801	6101
1278	10807	6092
1279	10816	6084
1280	10823	6074
1281	10831	6066
1282	10837	6056
1283	10845	6048
1284	10852	6038
1285	10860	6029
1286	10866	6020
1287	10874	6011
1288	10881	6002
1289	10889	5993
1290	10898	5985
1291	10904	5975
1292	10913	5967
1293	10920	5957
1294	10928	5949
1295	10935	5940
1296	10943	5931
1297	10952	5923
1298	10964	5917
1299	10975	5910
1300	10986	5902
1301	10997	5895
1302	11010	5889
1303	11018	5881
1304	11033	5876
1305	11044	5869
1306	11054	5861
1307	11063	5853
1308	11073	5845
1309	11079	5835
1310	11088	5827
1311	11095	5818
1312	11103	5809
1313	11110	5800
1314	11119	5792
1315	11125	5782
1316	11132	5773
1317	11140	5764
1318	11147	5755
1319	11160	5749
1320	11173	5743
1321	11180	5733
1322	11189	5725
1323	11196	5716
1324	11204	5708
1325	11211	5698
1326	11220	5690
1327	11227	5681
1328	11235	5672
1329	11243	5663
1330	11251	5655
1331	11258	5646
1332	11266	5637
1333	11274	5628
1334	11283	5620
1335	11290	5611
1336	11299	5603
1337	11306	5593
1338	11314	5585
1339	11321	5576
1340	11331	5568
1341	11343	5561
1342	11355	5555
1343	11367	5548
1344	11381	5542
1345	11397	5537
1346	11405	5529
1347	11415	5521
1348	11424	5513
1349	11462	5518
1350	11484	5517
1351	11496	5510
1352	11506	5502
1353	11514	5493
1354	11525	5486
1355	11541	5481
1356	11551	5473
1357	11561	5465
1358	11581	5462
1359	11595	5456
1360	11606	5449
1361	11614	5440
1362	11625	5433
1363	11634	5424
1364	11644	5416
1365	11655	5409
1366	11662	5400
1367	11672	5392
1368	11680	5383
1369	11691	5376
1370	11699	5367
1371	11709	5359
1372	11719	5352
1373	11727	5342
1374	11737	5335
1375	11745	5326
1376	11755	5318
1377	11763	5309
1378	11771	5301
1379	11779	5292
1380	11790	5284
1381	11799	5276
1382	11807	5267
1383	11817	5259
1384	11824	5250
1385	11834	5242
1386	11840	5233
1387	11850	5225
1388	11857	5215
1389	11865	5207
1390	11872	5198
1391	11881	5189
1392	11888	5180
1393	11896	5171
1394	11903	5162
1395	11911	5153
1396	11918	5144
1397	11926	5135
1398	11933	5126
1399	11942	5118
1400	11950	5109
1401	11958	5100
1402	11965	5091
1403	11973	5082
1404	11980	5073
1405	11987	5064
1406	11996	5056
1407	12003	5046
1408	12011	5038
1409	12020	5029
1410	12029	5021
1411	12036	5012
1412	12045	5003
1413	12052	4994
1414	12060	4986
1415	12067	4976
1416	12076	4968
1417	12082	4959
1418	12091	4950
1419	12097	4941
1420	12107	4933
1421	12114	4924
1422	12122	4915
1423	12129	4906
1424	12137	4897
1425	12144	4888
1426	12151	4879
1427	12160	4870
1428	12168	4862
1429	12177	4853
1430	12184	4845
1431	12192	4836
1432	12201	4827
1433	12209	4819
1434	12217	4810
1435	12226	4802
1436	12234	4793
1437	12243	4784
1438	12253	4777
1439	12261	4768
1440	12270	4760
1441	12277	4751
1442	12286	4742
1443	12292	4733
1444	12302	4725
1445	12310	4716
1446	12319	4707
1447	12325	4698
1448	12334	4690
1449	12340	4680
1450	12350	4672
1451	12357	4663
1452	12365	4655
1453	12372	4646
1454	12380	4637
1455	12388	4628
1456	12397	4620
1457	12404	4611
1458	12414	4603
1459	12420	4594
1460	12429	4585
1461	12437	4576
1462	12445	4568
1463	12452	4559
1464	12461	4550
1465	12468	4541
1466	12476	4532
1467	12482	4523
1468	12490	4514
1469	12498	4506
1470	12505	4497
1471	12515	4489
1472	12522	4480
1473	12530	4471
1474	12537	4462
1475	12545	4453
1476	12554	4445
1477	12563	4437
1478	12571	4428
1479	12579	4419
1480	12586	4410
1481	12595	4402
1482	12602	4393
1483	12610	4384
1484	12617	4375
1485	12625	4366
1486	12632	4358
1487	12641	4349
1488	12648	4340
1489	12657	4332
1490	12665	4323
1491	12675	4315
1492	12682	4306
1493	12690	4298
1494	12698	4289
1495	12706	4280
1496	12713	4271
1497	12722	4263
1498	12729	4254
1499	12738	4246
1500	12744	4236
1501	12753	4228
1502	12800	4232
1503	12823	4228
1504	12832	4220
1505	12846	4213
1506	12859	4206
1507	12869	4198
1508	12877	4190
1509	12886	4181
1510	12894	4172
1511	12901	4164
1512	12908	4155
1513	12916	4146
1514	12923	4137
1515	12932	4128
1516	12939	4119
1517	12948	4111
1518	12955	4102
1519	12964	4093
1520	12971	4084
